Dataset Name,Archive Type,Proxy Type,Minimum Year,Maximum Year,Latitude,Longitude,DOI
BS7938,marine sediment,alkenone,-22567,1083,38.4,13.6,10.1029/2000PA000502
LO09.Berner.2008,marine sediment,diatom,-9026.135934,1582.5,58.9383,-30.4083,10.1029/2006PA001339
ODP1751078C,marine sediment,alkenone,-22790,1930,-11.9208,13.4002,10.1029/2003GL017557
O2kLR-Tagusmudpatc.Abrantes.2005,marine sediment,alkenone,-6052,2001,38.556,-9.3498,10.1016/j.quascirev.2004.04.009
O2kLR-Tagusmudpatc.Abrantes.2005,marine sediment,alkenone,-6052,2001,38.556,-9.3498,10.1016/j.quascirev.2004.04.009
Tiavatnet.Sepp.2009,lake sediment,pollen,-7038,2000,63.05,9.4167,10.5194/cp-5-523-2009
ODP1019.Barron.2003,marine sediment,alkenone,-14140,1790,41.682,-124.93,10.1029/2002PA000768
GeoB3129.Weldeab.2006,marine sediment,Mg/Ca,-11950,1780,-4.6,-36.6,10.1016/j.epsl.2005.11.012
MSM05-712..2012,marine sediment,dinocyst,-8564,1492.35,78.916,6.767,10.1016/j.quascirev.2012.04.024
haugtjern..2009,lake sediment,pollen,-7009,1973,60.8333,10.8833,10.5194/cp-5-523-2009
SSDP102,marine sediment,alkenone,-4930,1940,34.953,128.881,10.1016/j.quascirev.2004.08.010
lily..1990,lake sediment,pollen,-10790,1896,59.2,-135.4,10.1139/b90-139
GeoB4905.Weldeab.2005,marine sediment,Mg/Ca,-12660,1890,2.5,9.4,10.1130/G21874.1
Rainbow.Clegg.2011,lake sediment,chironomid,-11555.54427,2004,60.7167,-150.8,10.1073/pnas.1110913108
isbenttjonn..2009,lake sediment,pollen,-6940.1,1993.5,59.7667,7.4333,10.5194/cp-5-523-2009
GISP2.Kobashi.2012,ice,d15Nd40Ar,-2000,1993,70.6,38.5,10.1029/2011GL049444
Sharkey.Shuman.2016,lake sediment,pollen,-9050,1300,44.59,-93.41,10.1016/j.quascirev.2016.03.009
Ratasjoen.Velle.2005,lake sediment,chironomid,-8918.920565,1999,62.27,9.83,10.1016/j.quascirev.2004.10.010
MD012390.Steinke.2008,lake sediment,Mg/Ca,-14276,900,6.6,113.4,10.1016/j.quascirev.2007.12.003
O2kLR-CapeGhirNWAf.Kim.2006,marine sediment,alkenone,-8552,1977.59,30.85,-10.2685,10.1130/G23251A.1
MD972141,marine sediment,Mg/Ca,-68850,-2384.286,8.78,121.28,10.1029/2002GL016612
Lyadhej-To.Andreev.2005,lake sediment,chironomid,-8838.064453,1881.111115,68.25,65.79,10.1016/j.palaeo.2005.04.004
P178-15P.Tierney.2015,marine sediment,alkenone,-37535,1968,11.955,44.3,10.1038/ngeo2603
P178-15P.Tierney.2015,marine sediment,TEX86,-37535,1968,11.955,44.3,10.1038/ngeo2603
P178-15P.Tierney.2015,marine sediment,Mg/Ca,-37535,1968,11.955,44.3,10.1038/ngeo2603
JR01.Zabenskie.2007,lake sediment,pollen,-5006,1999,69.9,-95.07,10.1016/j.yqres.2007.04.003
BighornBasin.Shuman.2012,lake sediment,pollen,-10050,1950,44.285,-108.635,10.1073/pnas.1201341110
Tornetrask.Grudd.2002,tree,TRW,-5406,1997,68.0,20.0,10.1191/0959683602hl578rp
GEOFAR_KF16_MgCa.Repschlager.2016,marine sediment,Mg/Ca,-9308,1426,37.999,-31.1283,10.1029/2012PA002281
lapland..2010,tree,TRW,-5500,2005,69.0,25.0,10.1007/s10933-012-9598-1
B997-321..2005,marine sediment,d18O,-4177.8,1772.57,66.53,-18.97444,10.1016/j.quascirev.2004.07.025
Mansell.Shuman.2016,lake sediment,pollen,-8350,1950,45.0405,-68.7347,10.1016/j.quascirev.2016.03.009
dalene..2009,lake sediment,pollen,-6990.4,2006.87,58.25,8.0,10.5194/cp-5-523-2009
MD99-2264..2010,marine sediment,foraminifera,-9553,1974,66.679,-24.196,10.1016/j.marmicro.2010.08.002
V1927,marine sediment,d18O,-27890,520,0.47,-82.07,10.1029/2003PA000894
brurskardstjorni..2005,lake sediment,chironomid,-8950.42,1977,61.42,8.67,10.1016/j.quascirev.2004.10.010
SO139-74KL.Luckge.2008,marine sediment,alkenone,-290050,943,-6.543,103.833,10.1029/2008PA001627
GeoB77023.Castaeda.2010,marine sediment,TEX86,-12634.6413,1808.25,31.7,34.1,10.1029/2009PA001740
Svartvatnet.Sepp.2009,lake sediment,pollen,-6988,1987,63.35,9.55,10.5194/cp-5-523-2009
AD9117.Guinta.2001,marine sediment,alkenone,-9060,-40,40.9,18.6,10.13130/2039-4942/5447
akvaquak..2009,lake sediment,pollen,-6384,1940,66.7833,-63.95,10.5194/cp-5-347-2009
TTR17_434G.Rodrigo-Gamiz.2014,marine sediment,LDI,-11778,1923.2,36.2052,-4.3122,10.1002/2013PA002466
TTR17_434G.Rodrigo-Gamiz.2014,marine sediment,alkenone,-11778,1923.2,36.2052,-4.3122,10.1002/2013PA002466
laihalampi..2003,lake sediment,pollen,-7045.363726,1900.956913,61.48,26.07,10.1016/S0277-37910200189-0
Khoe.Leipe.2015,lake sediment,pollen,-41780,1950,51.34,142.14,10.1016/j.quascirev.2015.03.012
kinnshaugen..2009,lake sediment,pollen,-6879,1973,62.0167,10.3667,10.5194/cp-5-523-2009
TTR-12_293G.Rodrigo-Gamiz.2014,marine sediment,LDI,-17452.1,1861,36.1736,-2.7547,10.1002/2013PA00246
TTR-12_293G.Rodrigo-Gamiz.2014,marine sediment,alkenone,-17452.1,1861,36.1736,-2.7547,10.1002/2013PA00246
SprucePond.Shuman.2016,lake sediment,pollen,-9050,1850,41.2368,-74.1834,10.1016/j.quascirev.2016.03.009
